,idncase,last_judge_name,ij_final_date,case_outcome,nationality,language,represented,custody
466,12509555,"Hansen, Katherine L.",2025-03-24,Dismissed By IJ,Mexico,Spanish,False,Never Detained
468,9883663,"Simons, Ian R.",2022-04-22,Dismissed By IJ,Haiti,Creole,False,Never Detained
470,14160031,"Hansen, Katherine L.",2026-05-14,Dismissed By IJ,Honduras,Spanish,False,Never Detained
471,11804260,"Simons, Ian R.",2024-06-11,Dismissed By IJ,Cuba,Spanish,False,Never Detained
472,14485306,"Simons, Ian R.",2025-09-26,Dismissed By IJ,Nicaragua,Spanish,False,Never Detained
474,8842197,"Simons, Ian R.",2022-05-03,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
475,8842170,"Simons, Ian R.",2022-05-03,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
479,12167197,"Simons, Ian R.",2024-11-26,Dismissed By IJ,Cuba,Spanish,False,Never Detained
480,12313794,"Hansen, Katherine L.",2024-11-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
483,12167062,"Simons, Ian R.",2024-11-26,Dismissed By IJ,Cuba,Spanish,False,Never Detained
485,11402539,"Simons, Ian R.",2024-12-17,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
487,14858916,"Simons, Ian R.",2025-06-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
491,12873728,"Simons, Ian R.",2025-06-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
492,12167194,"Simons, Ian R.",2024-11-26,Dismissed By IJ,Cuba,Spanish,False,Never Detained
497,12990086,"Simons, Ian R.",2024-12-19,Dismissed By IJ,Cuba,Spanish,False,Never Detained
498,11698626,"Simons, Ian R.",2024-03-26,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
499,11955921,"Simons, Ian R.",2024-09-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
500,13443997,"Hansen, Katherine L.",2024-11-01,Dismissed By IJ,Cuba,Spanish,False,Never Detained
506,9702440,"Simons, Ian R.",2022-08-10,Dismissed By IJ,Cuba,Spanish,False,Never Detained
510,11956113,"Simons, Ian R.",2024-09-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
511,11956771,"Simons, Ian R.",2024-09-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
519,12977138,"Hansen, Katherine L.",2025-01-08,Dismissed By IJ,Cuba,Spanish,False,Never Detained
522,14898064,"Hansen, Katherine L.",2026-05-14,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
523,13443998,"Hansen, Katherine L.",2024-11-01,Dismissed By IJ,Cuba,Spanish,False,Never Detained
526,14241490,"Hansen, Katherine L.",2026-03-20,Dismissed By IJ,Honduras,Spanish,False,Never Detained
527,13443999,"Hansen, Katherine L.",2024-11-01,Dismissed By IJ,Cuba,Spanish,False,Never Detained
529,12167196,"Simons, Ian R.",2024-11-26,Dismissed By IJ,Cuba,Spanish,False,Never Detained
531,9722847,"Simons, Ian R.",2022-09-20,Dismissed By IJ,Vietnam,Vietnamese,False,Never Detained
532,10226441,"Simons, Ian R.",2022-06-24,Dismissed By IJ,China,English,False,Never Detained
535,12899596,"Simons, Ian R.",2026-04-24,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
536,12046907,"Simons, Ian R.",2024-12-17,Dismissed By IJ,Venezuela,English,False,Never Detained
541,10887198,"Simons, Ian R.",2024-10-30,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
542,10105725,"Hansen, Katherine L.",2024-12-03,Dismissed By IJ,Honduras,Spanish,False,Never Detained
543,10106023,"Hansen, Katherine L.",2024-12-03,Dismissed By IJ,Honduras,Spanish,False,Never Detained
544,10105800,"Hansen, Katherine L.",2024-12-03,Dismissed By IJ,Honduras,Spanish,False,Never Detained
545,10105767,"Hansen, Katherine L.",2024-12-03,Dismissed By IJ,Honduras,Spanish,False,Never Detained
547,13980692,"Hansen, Katherine L.",2026-03-31,Dismissed By IJ,Colombia,Spanish,False,Never Detained
554,13117658,"Hansen, Katherine L.",2024-12-02,Dismissed By IJ,Cuba,Spanish,False,Never Detained
555,13117659,"Hansen, Katherine L.",2024-12-02,Dismissed By IJ,Cuba,Spanish,False,Never Detained
556,14260611,"Hansen, Katherine L.",2026-02-24,Dismissed By IJ,Mexico,Spanish,False,Never Detained
558,10945291,"Jebson, Mark J.",2023-04-26,Failure To Prosecute (DHS Cases Only),Peru,Spanish,False,Never Detained
559,10945264,"Jebson, Mark J.",2023-04-26,Failure To Prosecute (DHS Cases Only),Peru,Spanish,False,Never Detained
560,9757967,"Simons, Ian R.",2022-04-19,Failure To Prosecute (DHS Cases Only),Cuba,Spanish,False,Never Detained
561,10234635,"Simons, Ian R.",2022-03-24,Failure To Prosecute (DHS Cases Only),Cuba,Spanish,False,Never Detained
564,10831980,"Jebson, Mark J.",2022-11-09,Failure To Prosecute (DHS Cases Only),Cuba,Spanish,False,Never Detained
573,10973536,"Jebson, Mark J.",2023-01-18,Failure To Prosecute (DHS Cases Only),Mexico,Spanish,False,Never Detained
575,9855280,"Simons, Ian R.",2022-02-08,Failure To Prosecute (DHS Cases Only),Nicaragua,Spanish,False,Never Detained
576,9913631,"Simons, Ian R.",2022-03-29,Failure To Prosecute (DHS Cases Only),Venezuela,Spanish,False,Never Detained
579,14703138,"Hansen, Katherine L.",2025-01-27,Failure To Prosecute (DHS Cases Only),Mexico,Spanish,False,Never Detained
582,9618880,"Simons, Ian R.",2022-04-05,Failure To Prosecute (DHS Cases Only),Mexico,English,False,Never Detained
585,14790140,"Hansen, Katherine L.",2025-04-22,Failure To Prosecute (DHS Cases Only),China,Mandarin,False,Never Detained
586,10253925,"Simons, Ian R.",2022-04-12,Failure To Prosecute (DHS Cases Only),Cuba,Spanish,False,Never Detained
587,13568851,"Simons, Ian R.",2025-03-31,Failure To Prosecute (DHS Cases Only),Guatemala,Spanish,False,Never Detained
588,14956319,"Hansen, Katherine L.",2025-06-18,Failure To Prosecute (DHS Cases Only),Nicaragua,English,False,Never Detained
